类型,代码,名称,5日阻力位3,5日阻力位2,5日阻力位1,5日枢轴点,5日支撑位1,5日支撑位2,5日支撑位3,5日预期波动率1(%),5日预期波动率2(%),5日预期波动率3(%)
A股ETF,510300,沪深300ETF,4.197,4.141,4.099,4.043,4.001,3.945,3.903,2.424,4.848,7.272
A股ETF,510500,中证500ETF,6.329,6.223,6.15,6.044,5.971,5.865,5.792,2.961,5.923,8.884
A股ETF,511260,十年国债ETF,134.117,133.643,133.308,132.834,132.499,132.025,131.69,0.609,1.218,1.827
A股ETF,518880,黄金ETF,6.043,5.993,5.948,5.898,5.853,5.803,5.758,1.611,3.221,4.832
A股ETF,513500,标普500ETF,2.298,2.267,2.247,2.216,2.196,2.165,2.145,2.302,4.604,6.905
A股ETF,513300,纳斯达克ETF,2.108,2.069,2.037,1.998,1.966,1.927,1.895,3.554,7.108,10.662
A股ETF,588000,科创50ETF,1.116,1.096,1.082,1.062,1.048,1.028,1.014,3.201,6.401,9.602
A股ETF,513880,日经225ETF,1.431,1.4,1.374,1.343,1.317,1.286,1.26,4.245,8.491,12.736
A股ETF,513050,中概互联网ETF,1.226,1.204,1.19,1.168,1.154,1.132,1.118,3.083,6.166,9.249
A股ETF,513950,恒生红利ETF,1.211,1.188,1.175,1.152,1.139,1.116,1.103,3.126,6.252,9.378
A股ETF,515080,中证红利ETF,1.622,1.589,1.572,1.539,1.522,1.489,1.472,3.248,6.496,9.744
A股ETF,560350,中证A50ETF指数基金,1.162,1.146,1.135,1.119,1.108,1.092,1.081,2.413,4.826,7.239
A股ETF,159338,中证A500ETF,1.005,0.99,0.981,0.966,0.957,0.942,0.933,2.484,4.967,7.451
A股ETF,513820,港股红利ETF基金,1.124,1.097,1.083,1.056,1.042,1.015,1.001,3.881,7.763,11.644
A股ETF,512480,半导体ETF,1.085,1.062,1.037,1.014,0.989,0.966,0.941,4.735,9.471,14.206
A股ETF,516010,游戏ETF,1.249,1.194,1.16,1.105,1.071,1.016,0.982,8.052,16.104,24.156
A股ETF,516000,数据ETF,0.993,0.971,0.955,0.933,0.917,0.895,0.879,4.071,8.143,12.214
A股ETF,512660,军工ETF,1.124,1.105,1.091,1.072,1.058,1.039,1.025,3.079,6.159,9.238
A股ETF,515220,煤炭ETF,1.346,1.295,1.268,1.217,1.19,1.139,1.112,6.407,12.815,19.222
港股,00700,腾讯控股,440.2,427.4,420.0,407.2,399.8,387.0,379.6,4.961,9.921,14.882
港股,03690,美团-W,183.4,177.0,169.7,163.3,156.0,149.6,142.3,8.389,16.779,25.168
港股,07233,南方两倍做多沪深300,4.225,4.103,4.021,3.899,3.817,3.695,3.613,5.232,10.463,15.695
港股,07226,南方两倍做多恒科,4.561,4.409,4.321,4.169,4.081,3.929,3.841,5.757,11.514,17.272
港股,07552,南方两倍做空恒科,3.545,3.471,3.343,3.269,3.141,3.067,2.939,6.179,12.357,18.536
美股,GLD,SPDR Gold Shares,1.773,1.681,1.495,1.403,1.217,1.125,0.939,19.819,39.639,59.458
美股,UGL,ProShares Ultra Gold,98.906,97.765,96.043,94.902,93.18,92.039,90.317,3.017,6.034,9.05
美股,GLL,ProShares UltraShort Gold,44.963,42.867,41.043,38.947,37.123,35.027,33.203,10.065,20.13,30.195
美股,VOO,Vanguard S&P 500 Value ETF,391.32,382.75,377.835,369.265,364.35,355.78,350.865,3.652,7.304,10.956
美股,UPRO,ProShares UltraPro S&P500,104.947,102.401,100.681,98.135,96.415,93.869,92.149,4.347,8.694,13.041
美股,SPXU,ProShares UltraPro Short S&P500,22.368,21.997,21.443,21.072,20.518,20.147,19.593,4.39,8.78,13.169
美股,QQQ,Invesco QQQ Trust,54.91,51.13,49.025,45.245,43.14,39.36,37.255,13.007,26.014,39.021
美股,TQQQ,ProShares UltraPro QQQ,97.627,92.133,88.837,83.343,80.047,74.553,71.257,10.547,21.093,31.64
美股,SQQQ,ProShares UltraPro Short QQQ,36.048,34.759,32.569,31.28,29.09,27.801,25.611,11.122,22.244,33.367
美股,QDTE,Roundhill Innovation-100 0DTE Covered Call Strategy ETF,44.55,44.02,43.58,43.05,42.61,42.08,41.64,2.253,4.506,6.76
美股,YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs,20.87,20.4,20.07,19.6,19.27,18.8,18.47,4.082,8.163,12.245
美股,OARK,YieldMax ARKK Option Income Strategy ETF,11.569,11.318,11.129,10.878,10.689,10.438,10.249,4.045,8.09,12.135
美股,KWEB,KraneShares CSI China Internet ETF,32.188,31.779,31.274,30.865,30.36,29.951,29.446,2.961,5.923,8.884
美股,CWEB,Direxion Daily CSI China Internet Bull 2X Shares,38.022,37.133,35.967,35.078,33.912,33.023,31.857,5.858,11.717,17.575
美股,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,27.74,27.53,27.335,27.125,26.93,26.72,26.525,1.493,2.986,4.479
美股,CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares,16.01,15.78,15.54,15.31,15.07,14.84,14.6,3.07,6.14,9.21
