类型,代码,名称
A股ETF,159338,中证A500ETF
A股ETF,510300,沪深300ETF
A股ETF,510500,中证500ETF
A股ETF,511260,十年国债ETF
A股ETF,518880,黄金ETF
A股ETF,513500,标普500ETF
A股ETF,513300,纳斯达克ETF
A股ETF,588000,科创50ETF
A股ETF,513880,日经225ETF
A股ETF,513050,中概互联网ETF
A股ETF,513950,恒生红利ETF
A股ETF,515080,中证红利ETF
A股ETF,560350,中证A50ETF指数基金
A股ETF,512480,半导体ETF
A股ETF,513820,港股红利ETF基金
A股ETF,516000,数据ETF
A股ETF,516010,游戏ETF
A股ETF,512660,军工ETF
A股ETF,515220,煤炭ETF
港股,00386,中国石油化工股份
港股,00700,腾讯控股
港股,03690,美团-W
港股,07233,南方两倍做多沪深300
港股,07226,南方两倍做多恒科
港股,07552,南方两倍做空恒科
美股,GLD,SPDR Gold Shares
美股,UGL,ProShares Ultra Gold
美股,GLL,ProShares UltraShort Gold
美股,VOO,Vanguard S&P 500 Value ETF
美股,UPRO,ProShares UltraPro S&P500
美股,SPXU,ProShares UltraPro Short S&P500
美股,QQQ,Invesco QQQ Trust
美股,TQQQ,ProShares UltraPro QQQ
美股,SQQQ,ProShares UltraPro Short QQQ
美股,QDTE,Roundhill Innovation-100 0DTE Covered Call Strategy ETF
美股,YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs
美股,OARK,YieldMax ARKK Option Income Strategy ETF
美股,KWEB,KraneShares CSI China Internet ETF
美股,CWEB,Direxion Daily CSI China Internet Bull 2X Shares
美股,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF
美股,CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares
